DATE,Dubai,Texas,UK
01-07-20,37.3,29.2,11.9
02-07-20,38.3,29.6,12.6
03-07-20,37.1,27.8,11.9
04-07-20,36.6,28.7,12.9
05-07-20,35.6,28.7,14.6
06-07-20,37.4,28.6,13.8
07-07-20,36.1,28.4,12.5
08-07-20,38.6,29.4,12.1
09-07-20,37.8,29.3,12.8
10-07-20,38.7,29.7,13.6
11-07-20,38.3,30.4,14.2
12-07-20,39.0,29.7,15.0
13-07-20,39.8,29.9,16.8
14-07-20,38.8,29.0,14.8
15-07-20,38.3,29.2,16.3
16-07-20,39.4,29.9,18.4
17-07-20,39.3,26.8,17.2
18-07-20,38.4,27.7,14.7
19-07-20,39.9,27.6,13.6
20-07-20,36.8,26.4,13.8
21-07-20,37.9,25.3,14.9
22-07-20,35.8,26.8,13.4
23-07-20,34.2,28.8,17.0
24-07-20,34.8,27.4,15.7
25-07-20,36.4,26.4,16.7
26-07-20,37.0,26.1,15.5
27-07-20,37.3,26.3,12.6
28-07-20,37.9,26.4,13.5
29-07-20,37.8,26.0,14.1
30-07-20,37.3,28.8,12.8
31-07-20,39.5,29.2,15.9
01-08-20,38.8,25.4,16.7
02-08-20,38.1,27.6,14.6
03-08-20,37.0,28.7,13.1
04-08-20,35.9,27.9,13.9
05-08-20,35.6,28.8,16.5
06-08-20,36.7,28.8,17.2
07-08-20,35.9,29.0,19.0
08-08-20,35.8,28.7,14.4
09-08-20,36.4,28.1,13.1
10-08-20,37.4,28.8,15.1
11-08-20,37.8,29.4,15.7
12-08-20,36.6,29.7,18.4
13-08-20,35.3,29.7,15.9
14-08-20,35.7,29.6,14.7
15-08-20,37.0,30.1,15.1
16-08-20,36.5,30.7,14.1
17-08-20,36.0,26.8,14.2
18-08-20,36.4,28.2,15.3
19-08-20,37.9,27.6,15.6
20-08-20,36.9,27.5,18.1
21-08-20,36.6,27.7,16.5
22-08-20,36.6,27.1,16.1
23-08-20,36.4,28.2,13.9
24-08-20,36.3,28.1,11.9
25-08-20,35.2,27.9,13.0
26-08-20,35.4,27.1,12.5
27-08-20,37.7,29.3,11.6
28-08-20,37.3,28.2,12.3
29-08-20,37.3,29.7,11.4
30-08-20,37.6,29.4,12.0
31-08-20,38.5,29.8,12.6
01-09-20,36.7,30.3,13.1
02-09-20,35.5,30.3,15.2
03-09-20,36.0,27.9,15.1
04-09-20,36.3,27.3,13.7
05-09-20,36.6,26.2,12.4
06-09-20,34.4,27.2,12.8
07-09-20,34.9,27.2,14.8
08-09-20,34.4,26.4,16.8
09-09-20,33.7,27.8,13.8
10-09-20,34.8,26.6,11.2
11-09-20,34.7,26.1,13.6
12-09-20,37.7,27.4,12.6
13-09-20,36.8,27.0,17.0
14-09-20,36.7,27.2,16.7
15-09-20,35.6,27.9,15.9
16-09-20,34.4,28.0,12.4
17-09-20,33.7,27.0,11.7
18-09-20,34.6,25.4,11.6
19-09-20,33.9,23.8,10.4
20-09-20,33.1,20.8,11.9
21-09-20,33.2,21.9,12.8
22-09-20,33.8,23.6,13.4
23-09-20,34.6,22.7,9.7
24-09-20,34.8,21.1,8.3
25-09-20,33.6,23.2,9.7
26-09-20,32.6,24.1,8.9
27-09-20,32.6,26.5,6.4
28-09-20,32.6,21.9,9.2
29-09-20,33.1,18.7,9.5
30-09-20,34.2,19.7,10.9
01-10-20,33.6,21.1,10.3
02-10-20,33.2,19.5,9.9
03-10-20,32.4,19.7,10.4
04-10-20,32.8,20.8,12.8
05-10-20,33.1,21.1,11.6
06-10-20,32.9,20.9,11.1
07-10-20,33.4,22.9,11.2
08-10-20,32.6,23.8,8.9
09-10-20,32.7,22.8,8.4
10-10-20,32.1,24.3,9.3
11-10-20,32.1,26.3,9.9
12-10-20,32.9,26.1,8.2
13-10-20,31.8,23.3,9.7
14-10-20,30.5,22.7,10.6
15-10-20,29.9,25.1,8.6
16-10-20,30.1,15.3,9.0
17-10-20,30.1,20.1,8.7
18-10-20,29.8,24.6,7.7
19-10-20,29.7,25.6,10.5
20-10-20,29.3,23.9,11.0
21-10-20,29.2,24.2,12.3
22-10-20,29.0,24.7,10.1
23-10-20,28.4,22.5,7.7
24-10-20,29.2,14.9,9.2
25-10-20,29.2,18.3,8.7
26-10-20,28.2,22.2,9.0
27-10-20,27.7,19.6,7.7
28-10-20,28.1,11.7,7.7
29-10-20,27.9,10.6,8.8
30-10-20,28.1,12.9,10.4
31-10-20,27.7,14.5,10.1
01-11-20,27.3,15.6,9.3
02-11-20,27.6,12.4,8.2
03-11-20,28.0,13.9,5.9
04-11-20,27.7,16.3,7.6
05-11-20,27.6,18.9,10.2
06-11-20,27.4,17.3,7.5
07-11-20,27.7,19.3,5.1
08-11-20,27.8,21.4,9.4
09-11-20,28.3,23.5,10.1
10-11-20,27.9,23.1,10.9
11-11-20,28.4,21.1,10.7
12-11-20,28.4,20.0,10.1
13-11-20,28.8,21.2,8.8
14-11-20,27.9,23.4,9.6
15-11-20,26.6,18.4,9.5
16-11-20,26.4,12.7,9.1
17-11-20,26.7,13.8,14.1
18-11-20,26.8,15.6,11.3
19-11-20,26.4,18.2,4.2
20-11-20,26.7,21.0,5.6
21-11-20,26.3,19.7,8.2
22-11-20,26.4,19.6,5.1
23-11-20,25.5,15.0,7.8
24-11-20,24.8,19.7,10.7
25-11-20,24.6,17.5,5.6
26-11-20,25.0,17.1,4.6
27-11-20,24.9,20.6,4.6
28-11-20,24.6,16.2,0.7
29-11-20,24.1,12.4,2.8
30-11-20,24.6,7.2,7.2
01-12-20,24.3,8.3,4.3
02-12-20,25.1,12.8,6.0
03-12-20,24.8,8.4,0.7
04-12-20,25.0,7.5,5.8
05-12-20,25.6,7.7,4.7
06-12-20,25.7,11.4,3.8
07-12-20,25.2,9.4,3.6
08-12-20,23.4,11.7,5.4
09-12-20,22.6,13.9,5.3
10-12-20,22.8,15.6,5.7
11-12-20,22.5,18.7,6.8
12-12-20,22.3,15.9,7.5
13-12-20,22.2,12.5,6.3
14-12-20,22.3,5.8,7.9
15-12-20,22.4,7.6,6.1
16-12-20,22.8,6.0,7.5
17-12-20,22.8,5.2,7.4
18-12-20,22.6,10.7,10.3
19-12-20,22.2,14.6,8.2
20-12-20,22.9,11.9,6.4
21-12-20,21.8,12.8,5.9
22-12-20,21.3,13.9,3.3
23-12-20,21.7,19.0,2.2
24-12-20,21.4,6.8,2.4
25-12-20,21.4,7.9,2.7
26-12-20,21.4,11.3,6.4
27-12-20,21.4,15.9,2.0
28-12-20,21.1,17.6,-0.4
29-12-20,20.6,18.0,2.6
30-12-20,21.6,20.7,0.6
31-12-20,21.9,16.1,2.1
01-01-21,21.7,7.5,2.8
02-01-21,21.4,7.5,1.4
03-01-21,20.6,11.2,2.7
04-01-21,19.8,14.7,3.2
05-01-21,19.8,13.4,2.6
06-01-21,20.2,15.3,-0.6
07-01-21,19.3,10.2,1.4
08-01-21,18.9,7.6,-0.8
09-01-21,18.4,6.9,-0.6
10-01-21,18.9,3.2,3.5
11-01-21,19.0,2.7,5.9
12-01-21,19.0,5.5,1.1
13-01-21,19.3,8.3,0.4
14-01-21,19.6,11.8,2.7
15-01-21,19.7,8.7,1.2
16-01-21,19.4,7.7,4.3
17-01-21,19.7,9.6,3.9
18-01-21,21.8,12.3,4.7
19-01-21,20.7,18.1,1.2
20-01-21,20.9,16.1,2.1
21-01-21,19.9,17.4,3.1
22-01-21,19.9,17.2,2.5
23-01-21,19.9,15.7,-0.7
24-01-21,20.4,19.4,-0.8
25-01-21,20.2,20.4,2.9
26-01-21,20.6,17.6,1.4
27-01-21,20.4,13.8,2.2
28-01-21,21.2,8.7,4.3
29-01-21,21.7,10.7,3.2
30-01-21,22.8,17.8,1.9
31-01-21,20.9,14.3,0.5
01-02-21,19.5,9.4,1.2
02-02-21,19.8,9.6,3.5
03-02-21,20.4,12.8,3.2
04-02-21,21.3,19.3,3.8
05-02-21,22.6,9.6,4.1
06-02-21,22.6,12.3,3.0
07-02-21,22.4,9.7,1.7
08-02-21,22.3,14.9,0.9
09-02-21,22.0,18.8,-0.3
10-02-21,21.6,14.4,-2.6
13-02-21,22.1,3.8,-0.4
14-02-21,21.3,0.3,2.6
15-02-21,20.9,-7.2,6.3
16-02-21,21.9,-4.2,7.3
17-02-21,25.4,1.1,6.4
18-02-21,25.8,0.3,6.8
19-02-21,24.7,2.3,5.2
21-02-21,23.6,13.8,8.1
22-02-21,24.7,14.9,6.4
23-02-21,24.0,14.3,8.3
24-02-21,24.4,18.9,10.2
25-02-21,25.3,19.4,6.8
26-02-21,22.1,20.9,6.5
27-02-21,21.1,20.6,7.7
28-02-21,21.4,21.8,8.1
01-03-21,22.6,15.6,5.4
02-03-21,26.7,11.2,3.9
03-03-21,28.1,11.7,3.2
04-03-21,27.5,13.2,4.1
05-03-21,29.0,15.2,2.1
06-03-21,23.3,14.1,2.6
07-03-21,21.8,12.1,5.8
08-03-21,21.4,13.9,8.2
09-03-21,24.4,18.1,7.9
10-03-21,25.4,20.4,7.3
11-03-21,25.1,21.5,6.7
12-03-21,30.1,22.2,4.2
13-03-21,26.3,21.2,4.9
14-03-21,22.7,19.2,5.7
15-03-21,22.8,20.1,6.3
16-03-21,24.5,22.0,9.7
17-03-21,28.1,20.7,8.4
18-03-21,29.9,12.7,9.1
19-03-21,29.8,11.3,7.2
20-03-21,26.4,11.7,8.6
21-03-21,25.2,12.9,6.7
22-03-21,25.7,18.2,7.2
23-03-21,25.0,20.7,8.8
24-03-21,27.3,19.3,7.2
25-03-21,30.3,20.5,7.9
26-03-21,31.1,20.7,6.6
27-03-21,30.9,23.2,5.6
28-03-21,27.0,16.4,10.3
29-03-21,25.0,15.6,14.3
30-03-21,25.2,22.1,12.8
31-03-21,26.0,19.3,7.1
01-04-21,26.8,13.7,4.7
02-04-21,28.3,12.8,4.4
03-04-21,29.8,12.9,6.6
04-04-21,26.2,17.2,7.5
05-04-21,25.2,19.3,2.0
06-04-21,25.3,22.0,2.1
07-04-21,24.9,22.6,3.1
08-04-21,25.3,21.7,7.2
09-04-21,27.8,23.4,4.1
10-04-21,31.3,21.6,1.9
11-04-21,32.3,20.1,1.7
12-04-21,32.7,21.7,3.7
13-04-21,32.6,22.8,3.5
14-04-21,33.5,21.1,4.9
15-04-21,30.6,18.8,4.8
16-04-21,27.5,18.4,6.0
17-04-21,26.4,14.3,7.2
18-04-21,27.7,13.6,6.8
19-04-21,27.7,16.0,9.1
20-04-21,27.7,19.2,8.2
21-04-21,30.2,13.2,5.5
22-04-21,32.1,16.1,7.9
23-04-21,31.8,21.8,7.8
24-04-21,31.3,23.8,7.6
25-04-21,32.6,20.7,6.2
26-04-21,33.8,21.4,8.1
27-04-21,33.7,24.0,6.9
29-04-21,32.5,24.7,5.1
30-04-21,30.8,21.2,5.8
01-05-21,30.2,21.4,5.6
02-05-21,30.0,24.4,6.8
03-05-21,30.9,26.3,5.2
04-05-21,31.8,24.4,6.4
05-05-21,30.6,20.6,5.7
06-05-21,29.8,21.7,5.2
07-05-21,30.7,22.3,6.2
08-05-21,32.1,23.5,6.3
09-05-21,31.4,26.2,10.7
10-05-21,29.9,27.1,10.7
11-05-21,30.1,24.9,11.2
12-05-21,32.0,18.4,8.6
13-05-21,32.1,20.3,8.1
14-05-21,32.0,21.8,8.6
15-05-21,32.5,22.6,8.8
16-05-21,33.8,23.1,8.8
17-05-21,32.3,22.2,10.1
18-05-21,35.8,21.8,10.3
19-05-21,35.0,20.0,9.3
20-05-21,34.6,23.4,9.8
21-05-21,34.7,23.5,8.2
22-05-21,35.7,23.6,8.6
23-05-21,35.9,23.1,8.6
24-05-21,36.1,23.8,8.4
25-05-21,37.8,25.0,9.4
26-05-21,37.0,26.2,11.2
27-05-21,32.7,26.2,10.7
28-05-21,32.7,25.2,9.3
29-05-21,34.4,25.9,9.4
30-05-21,35.4,24.2,9.2
31-05-21,36.1,25.0,9.6
01-06-21,35.2,25.0,10.7
02-06-21,33.8,24.8,10.8
03-06-21,36.2,23.3,12.4
04-06-21,35.4,22.9,14.5
05-06-21,34.7,24.8,15.1
06-06-21,38.4,26.3,14.8
07-06-21,36.7,27.9,13.7
08-06-21,35.1,28.6,15.5
09-06-21,33.8,28.5,17.6
10-06-21,34.0,27.7,17.8
11-06-21,34.1,27.8,16.3
12-06-21,33.9,28.8,14.8
13-06-21,33.9,30.3,19.2
14-06-21,33.9,29.1,14.1
15-06-21,34.7,27.8,13.7
16-06-21,34.8,27.9,15.4
17-06-21,33.3,27.9,15.4
18-06-21,33.5,27.5,11.9
19-06-21,34.6,28.8,12.7
20-06-21,37.9,28.2,13.6
21-06-21,37.7,27.9,12.5
22-06-21,38.8,27.4,12.7
23-06-21,39.6,28.1,16.9
24-06-21,37.7,28.1,16.2
25-06-21,36.4,28.2,12.1
26-06-21,37.4,27.9,11.8
27-06-21,38.3,26.7,14.0
28-06-21,36.7,24.4,13.9
29-06-21,37.3,25.3,12.9
30-06-21,36.7,26.2,13.1
01-07-21,36.5,28.1,12.6
02-07-21,35.9,27.6,13.0
03-07-21,36.4,25.0,14.0
04-07-21,37.2,26.3,14.6
05-07-21,38.3,26.2,14.6
06-07-21,37.4,26.5,13.1
07-07-21,37.1,26.6,15.9
08-07-21,37.7,25.9,15.3
09-07-21,36.9,23.9,14.3
10-07-21,38.5,27.6,15.3
11-07-21,39.7,27.7,16.3
12-07-21,38.1,24.8,15.8
13-07-21,38.6,25.1,16.0
14-07-21,37.9,25.2,17.3
15-07-21,37.6,26.9,16.0
16-07-21,35.6,27.6,19.4
17-07-21,34.9,28.6,20.5
18-07-21,34.4,28.7,17.1
19-07-21,35.5,27.9,16.1
20-07-21,36.4,26.2,16.7
21-07-21,37.8,26.5,17.3
22-07-21,36.8,28.3,16.1
23-07-21,39.6,29.1,16.2
24-07-21,38.4,28.9,15.6
25-07-21,38.4,29.0,15.1
26-07-21,37.7,29.7,18.3
27-07-21,37.2,27.9,16.4
28-07-21,38.4,27.9,16.3
29-07-21,38.2,29.4,16.3
30-07-21,37.8,29.2,15.4
31-07-21,36.6,29.2,13.9
01-08-21,35.9,29.2,13.2
02-08-21,36.7,28.0,12.3
03-08-21,36.6,27.7,14.4
04-08-21,36.6,27.8,16.2
05-08-21,35.6,26.8,16.1
06-08-21,36.2,27.3,15.9
07-08-21,37.2,28.3,16.4
08-08-21,39.2,28.7,16.1
09-08-21,40.3,29.1,15.0
10-08-21,39.0,29.0,14.9
11-08-21,37.8,29.2,14.8
12-08-21,36.0,28.6,14.4
13-08-21,36.5,27.4,14.9
14-08-21,36.9,28.3,15.4
15-08-21,36.2,26.9,14.3
16-08-21,36.8,26.3,15.3
17-08-21,36.2,28.2,16.6
18-08-21,36.0,26.7,16.9
19-08-21,35.7,28.1,13.6
20-08-21,35.4,28.8,14.9
21-08-21,36.0,28.5,16.2
22-08-21,36.4,28.2,16.1
23-08-21,36.7,28.4,15.4
24-08-21,36.6,28.9,16.3
25-08-21,35.9,29.0,15.4
26-08-21,35.5,27.8,14.3
27-08-21,37.8,27.3,12.7
28-08-21,38.8,25.8,13.7
29-08-21,38.4,27.7,14.1
30-08-21,37.1,28.2,13.3
31-08-21,35.9,29.3,13.9
01-09-21,36.2,28.9,13.4
02-09-21,35.5,27.8,13.4
03-09-21,35.4,27.6,12.1
04-09-21,35.9,28.8,12.9
05-09-21,36.4,29.1,14.6
06-09-21,35.6,27.4,17.1
07-09-21,34.4,25.6,18.5
08-09-21,35.4,25.7,16.2
09-09-21,35.9,26.2,15.1
10-09-21,35.4,24.7,17.4
11-09-21,36.4,24.2,16.8
12-09-21,37.1,24.7,12.8
13-09-21,35.9,23.7,13.3
14-09-21,34.7,22.2,14.0
15-09-21,35.7,23.6,14.6
16-09-21,35.7,23.5,15.3
17-09-21,35.2,25.7,16.4
18-09-21,35.4,25.4,14.9
19-09-21,35.4,26.5,14.9
20-09-21,34.4,27.7,12.9
21-09-21,34.1,28.4,14.2
22-09-21,33.4,21.8,15.3
23-09-21,33.4,20.3,14.8
24-09-21,34.9,20.7,16.4
25-09-21,34.9,21.3,15.8
26-09-21,33.8,22.2,17.3
27-09-21,33.3,24.9,11.9
28-09-21,33.9,24.2,9.7
29-09-21,34.4,24.4,9.2
30-09-21,33.9,24.8,11.1
01-10-21,33.3,23.1,10.9
02-10-21,33.4,23.9,9.9
03-10-21,33.7,24.8,9.8
04-10-21,32.8,23.7,9.9
05-10-21,32.9,22.8,8.6
06-10-21,32.9,22.8,10.4
07-10-21,33.2,23.2,15.4
08-10-21,32.9,23.7,15.3
09-10-21,32.7,23.6,13.3
10-10-21,32.6,25.9,10.4
11-10-21,32.7,24.3,11.2
12-10-21,33.4,26.1,10.6
13-10-21,32.3,26.4,12.7
14-10-21,31.4,25.1,11.6
15-10-21,31.8,25.7,6.2
16-10-21,31.2,17.4,7.5
17-10-21,32.8,15.7,11.3
18-10-21,31.9,17.2,13.4
19-10-21,31.4,19.7,14.7
20-10-21,31.0,23.6,10.1
21-10-21,30.7,24.6,6.9
22-10-21,31.0,23.7,8.2
23-10-21,31.2,23.3,10.5
24-10-21,30.2,24.3,12.8
25-10-21,29.7,25.7,9.0
26-10-21,30.7,24.9,12.3
27-10-21,29.6,21.3,14.6
28-10-21,29.2,18.7,11.9
29-10-21,29.0,15.7,10.0
30-10-21,29.6,14.1,8.7
31-10-21,30.9,16.6,7.4
01-11-21,30.4,17.5,7.9
02-11-21,29.4,18.3,7.2
03-11-21,28.9,14.2,6.7
04-11-21,28.5,10.8,5.5
05-11-21,28.8,11.0,8.6
06-11-21,28.7,12.4,10.2
07-11-21,28.7,13.3,8.7
08-11-21,27.5,15.3,8.6
09-11-21,27.4,17.7,11.4
10-11-21,27.6,20.6,7.5
11-11-21,27.3,17.9,9.6
12-11-21,28.2,15.3,10.6
13-11-21,28.4,10.8,8.4
14-11-21,27.4,15.1,8.8
15-11-21,27.6,19.1,9.3
16-11-21,26.7,21.0,8.7
17-11-21,27.4,22.6,7.1
18-11-21,27.2,15.4,12.9
19-11-21,26.0,11.7,12.7
20-11-21,25.9,16.1,9.8
21-11-21,26.5,19.9,5.4
22-11-21,28.0,14.9,4.7
23-11-21,28.1,13.3,6.2
24-11-21,27.6,19.3,6.2
25-11-21,26.3,16.1,4.4
26-11-21,25.8,9.7,4.9
27-11-21,26.5,10.9,2.2
28-11-21,25.9,11.6,1.2
29-11-21,25.2,12.8,2.9
30-11-21,25.2,14.5,8.9
01-12-21,25.6,16.9,5.1
02-12-21,25.3,17.8,2.3
03-12-21,24.8,20.4,4.1
04-12-21,23.9,21.5,4.6
05-12-21,23.7,21.8,2.9
06-12-21,23.9,19.7,2.4
07-12-21,23.2,13.3,3.6
08-12-21,23.6,15.2,5.7
09-12-21,24.5,23.2,3.4
10-12-21,23.6,24.6,2.6
11-12-21,23.4,14.4,3.4
12-12-21,23.4,9.6,7.6
13-12-21,23.4,15.4,6.3
14-12-21,23.9,22.3,7.2
15-12-21,23.7,23.2,9.9
16-12-21,24.1,23.3,9.1
17-12-21,23.4,22.7,4.0
18-12-21,23.4,17.5,2.9
19-12-21,23.8,10.3,3.1
20-12-21,23.3,8.5,3.9
21-12-21,23.8,8.1,2.4
22-12-21,23.2,13.1,1.8
23-12-21,23.0,17.6,3.9
24-12-21,23.6,20.7,4.9
25-12-21,23.4,21.7,4.5
26-12-21,23.9,22.3,4.9
27-12-21,23.3,22.2,4.6
28-12-21,22.6,23.2,5.2
29-12-21,22.8,23.2,5.4
30-12-21,23.8,22.2,10.6
31-12-21,21.4,23.3,9.7
01-01-22,21.1,24.3,10.6
02-01-22,23.4,3.3,8.5
03-01-22,24.1,3.7,4.8
04-01-22,22.7,9.9,2.3
05-01-22,21.4,16.2,2.9
06-01-22,20.8,14.6,2.8
07-01-22,19.7,7.0,1.4
08-01-22,19.7,17.4,2.7
09-01-22,19.9,19.9,1.6
10-01-22,20.4,10.2,4.2
11-01-22,20.8,8.5,4.6
12-01-22,20.9,11.1,8.4
13-01-22,21.2,12.5,7.3
14-01-22,21.9,14.9,6.9
15-01-22,23.3,8.3,4.8
16-01-22,21.1,5.3,5.8
17-01-22,23.5,9.2,6.3
18-01-22,24.6,15.0,6.0
19-01-22,23.2,17.9,7.2
20-01-22,22.4,5.7,3.4
21-01-22,19.1,3.8,4.6
22-01-22,19.3,3.9,6.9
23-01-22,19.0,7.3,7.2
24-01-22,18.9,8.6,6.4
25-01-22,20.7,10.6,5.2
26-01-22,21.5,7.5,7.7
27-01-22,22.2,9.6,7.4
28-01-22,21.7,8.8,6.6
29-01-22,21.1,7.6,8.9
30-01-22,20.7,11.7,4.4
31-01-22,21.5,13.6,5.3
01-02-22,22.2,15.7,10.1
02-02-22,21.1,17.2,8.1
03-02-22,21.8,2.9,8.9
04-02-22,21.9,-1.0,2.6
05-02-22,22.6,2.8,4.7
06-02-22,21.6,6.1,2.9
07-02-22,20.6,9.6,5.7
08-02-22,20.8,9.1,7.1
09-02-22,20.2,10.9,4.2
10-02-22,21.4,12.3,3.3
11-02-22,22.5,13.8,2.3
12-02-22,23.4,8.4,7.8
13-02-22,20.0,6.0,6.2
14-02-22,20.9,10.3,5.4
15-02-22,23.3,15.0,4.4
16-02-22,22.3,19.8,7.1
17-02-22,20.5,17.8,4.4
18-02-22,20.8,6.4,2.9
19-02-22,23.0,10.1,3.3
20-02-22,24.6,13.5,6.4
21-02-22,22.4,21.9,5.5
22-02-22,21.6,21.9,6.5
23-02-22,21.9,9.2,6.2
24-02-22,21.8,5.7,1.9
25-02-22,22.8,4.7,5.6
26-02-22,24.9,4.6,7.6
27-02-22,25.7,7.2,4.9
28-02-22,24.4,9.2,7.6
01-03-22,22.4,11.7,3.6
02-03-22,21.7,13.9,2.7
03-03-22,22.4,15.8,6.3
04-03-22,25.4,17.7,5.1
05-03-22,26.2,21.7,3.6
06-03-22,25.2,22.6,3.1
07-03-22,27.3,13.6,2.8
08-03-22,29.6,7.3,5.6
09-03-22,28.8,9.3,8.5
10-03-22,29.8,13.0,9.4
11-03-22,30.8,11.2,8.1
12-03-22,30.8,6.2,8.0
13-03-22,30.1,10.0,8.1
14-03-22,29.2,17.6,7.6
15-03-22,29.9,16.3,6.3
16-03-22,30.4,16.6,6.4
17-03-22,23.8,18.5,5.2
18-03-22,22.3,17.4,5.6
19-03-22,22.3,14.4,4.6
20-03-22,22.9,15.9,5.9
21-03-22,23.8,20.4,3.7
22-03-22,25.7,17.0,5.2
23-03-22,28.5,13.4,6.8
24-03-22,29.4,13.9,8.2
25-03-22,31.3,16.7,10.3
26-03-22,27.1,18.9,8.1
27-03-22,24.9,20.8,8.7
28-03-22,23.6,21.3,6.9
29-03-22,23.2,22.7,5.1
30-03-22,24.0,20.9,3.0
31-03-22,25.7,16.2,2.9
01-04-22,25.4,18.0,4.1
02-04-22,26.6,20.4,3.9
03-04-22,26.8,20.1,5.4
04-04-22,27.1,20.3,10.8
05-04-22,28.9,24.3,4.6
06-04-22,30.4,22.7,7.4
07-04-22,31.0,16.1,5.1
08-04-22,31.9,15.1,5.5
09-04-22,30.9,17.6,5.1
10-04-22,31.7,21.4,5.9
11-04-22,28.8,23.4,7.1
12-04-22,30.7,23.4,7.2
13-04-22,33.1,23.2,9.7
14-04-22,33.9,20.2,8.0
15-04-22,33.6,21.9,8.7
16-04-22,32.4,24.3,10.5
17-04-22,31.1,25.0,10.9
18-04-22,27.6,19.8,10.8
19-04-22,26.4,18.5,7.9
20-04-22,26.9,23.2,6.3
21-04-22,28.4,24.2,8.0
22-04-22,30.2,23.4,9.6
23-04-22,30.2,23.6,9.2
24-04-22,30.9,24.6,8.7
25-04-22,32.4,21.4,8.4
26-04-22,32.7,20.1,7.3
27-04-22,31.8,20.2,6.8
28-04-22,32.6,21.9,6.8
29-04-22,33.4,23.1,9.3
30-04-22,30.1,25.1,10.1
01-05-22,29.1,25.4,11.1
02-05-22,30.7,25.2,9.7
03-05-22,29.1,25.6,8.6
04-05-22,28.4,25.7,12.8
05-05-22,30.0,24.4,12.0
06-05-22,33.6,24.2,13.1
07-05-22,35.3,26.6,10.1
08-05-22,34.3,27.4,11.2
09-05-22,30.7,27.5,12.0
10-05-22,28.9,26.8,12.1
11-05-22,29.9,25.3,11.7
12-05-22,30.4,24.7,10.9
13-05-22,29.5,25.2,12.2
